PSEUDO_PLAZA,SOSTENIMIENTO,CLAVE CT,NOMBRE CT,MUNICIPIO CT,LOCALIDAD CT,TIPO ASPIRANTE,FUNCIÓN Y CATALOGO,HORAS TRABAJO,NIVEL,SUBTIPO/MATERIA,IDIOMA,OBSERVACIONES,CORDE
,FEDERAL,21DPR1794O,FRANCISCO I. MADERO,SAN SEBASTIAN TLACOTEPEC,TENTZIANTLA,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEHUACÁN
,FEDERAL,21DPR1106J,BENITO JUAREZ,ELOXOCHITLAN,XONOTIPAN DE JUAREZ,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEHUACÁN
,FEDERAL,21DPR0895F,IGNACIO ALLENDE,ZOQUITLAN,COYOLAPA,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEHUACÁN
,FEDERAL,21DPR0895F,IGNACIO ALLENDE,ZOQUITLAN,COYOLAPA,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEHUACÁN
,FEDERAL,21DPR3637L,SATURNINA MARTINEZ RAMIREZ,ACATZINGO,SAN SEBASTIAN VILLANUEVA,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR2136K,JOSE MARIA MORELOS,GENERAL FELIPE ÁNGELES,SANTIAGO TENANGO,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR3473S,GREGORIO TORRES QUINTERO,LOS REYES DE JUAREZ,LOS REYES DE JUAREZ,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR0707W,FRANCISCO I. MADERO,TOCHTEPEC,SAN BARTOLOME TEPETLACALTECHCO,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR3401Z,MIGUEL HIDALGO,YEHUALTEPEC,SAN MIGUEL ZOZUTLA,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR2890Y,TENOCHTITLAN,YEHUALTEPEC,SAN GABRIEL TETZOYOCAN,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR2687M,VICENTE LOMBARDO TOLEDANO,QUECHOLAC,PALMARITO TOCHAPAN,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR3718W,MARGARITA MAZA DE JUAREZ,LOS REYES DE JUÁREZ,LOS REYES DE JUÁREZ,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR2631K,CALMECAC,XOCHITLAN TODOS SANTOS,XOCHITLAN,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR2325C,MIGUEL ALEMAN,ACATZINGO,NICOLAS BRAVO,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
,FEDERAL,21DPR2325C,MIGUEL ALEMAN,ACATZINGO,NICOLAS BRAVO,1. DOCENTE,DOCENTE: MAESTRA O MAESTRO DE GRUPO,JORNADA,03 - EDUCACION PRIMARIA,N/A,N/A,NINGUNA,TEPEACA
